groupe,rang,equipe,pts,joues,gagnes,nuls,perdus,bp,bc,diff
A,1,Maroc,7,3,2,1,0,6,1,+5
A,2,Mali,3,3,0,3,0,2,2,0
A,3,Comores,2,3,0,2,1,0,2,-2
A,4,Zambie,2,3,0,2,1,1,4,-3
B,1,Égypte,7,3,2,1,0,3,1,+2
B,2,Afrique du Sud,6,3,2,0,1,5,4,+1
B,3,Angola,2,3,0,2,1,2,3,-1
B,4,Zimbabwe,1,3,0,1,2,4,6,-2
C,1,Nigeria,9,3,3,0,0,8,4,+4
C,2,Tunisie,4,3,1,1,1,6,5,+1
C,3,Tanzanie,2,3,0,2,1,3,4,-1
C,4,Ouganda,1,3,0,1,2,3,7,-4
D,1,Sénégal,7,3,2,1,0,7,1,+6
D,2,RD Congo,7,3,2,1,0,5,1,+4
D,3,Bénin,3,3,1,0,2,1,4,-3
D,4,Botswana,0,3,0,0,3,0,7,-7
E,1,Algérie,9,3,3,0,0,7,1,+6
E,2,Burkina Faso,6,3,2,0,1,4,2,+2
E,3,Soudan,3,3,1,0,2,1,5,-4
E,4,Guinée équatoriale,0,3,0,0,3,2,6,-4
F,1,Côte d'Ivoire,7,3,2,1,0,5,3,+2
F,2,Cameroun,7,3,2,1,0,4,2,+2
F,3,Mozambique,3,3,1,0,2,4,5,-1
F,4,Gabon,0,3,0,0,3,4,7,-3
