groupe,equipe1,equipe2,score
A,Maroc,Comores,2-0
A,Mali,Zambie,1-1
A,Maroc,Mali,1-1
A,Zambie,Comores,0-0
A,Zambie,Maroc,0-3
A,Comores,Mali,0-0
B,Égypte,Zimbabwe,2-1
B,Afrique du Sud,Angola,2-1
B,Égypte,Afrique du Sud,1-0
B,Angola,Zimbabwe,1-1
B,Angola,Égypte,0-0
B,Zimbabwe,Afrique du Sud,2-3
C,Nigeria,Tanzanie,2-1
C,Tunisie,Ouganda,3-1
C,Nigeria,Tunisie,3-2
C,Ouganda,Tanzanie,1-1
C,Ouganda,Nigeria,1-3
C,Tanzanie,Tunisie,1-1
D,Sénégal,Botswana,3-0
D,RD Congo,Bénin,1-0
D,Sénégal,RD Congo,1-1
D,Bénin,Botswana,1-0
D,Bénin,Sénégal,0-3
D,Botswana,RD Congo,0-3
E,Algérie,Soudan,3-0
E,Burkina Faso,Guinée équatoriale,2-1
E,Algérie,Burkina Faso,1-0
E,Guinée équatoriale,Soudan,0-1
E,Guinée équatoriale,Algérie,1-3
E,Soudan,Burkina Faso,0-2
F,Côte d'Ivoire,Mozambique,1-0
F,Cameroun,Gabon,1-0
F,Côte d'Ivoire,Cameroun,1-1
F,Gabon,Mozambique,2-3
F,Gabon,Côte d'Ivoire,2-3
F,Mozambique,Cameroun,1-2
